ID,Label,Weight
Rossler_Andreas,Rossler_Andreas,1
Cozzolino_Davide,Cozzolino_Davide,1
Verdoliva_Luisa,Verdoliva_Luisa,1
Riess_Christian,Riess_Christian,1
Thies_Justus,Thies_Justus,1
Niessner_Matthias,Niessner_Matthias,5
Lu_Weixin,Lu_Weixin,1
Wan_Guowei,Wan_Guowei,1
Zhou_Yao,Zhou_Yao,1
Fu_Xiangyu,Fu_Xiangyu,1
Yuan_Pengfei,Yuan_Pengfei,1
Song_Shiyu,Song_Shiyu,1
Gadelha_Matheus,Gadelha_Matheus,1
Wang_Rui,Wang_Rui,1
Maji_Subhransu,Maji_Subhransu,2
Larsson_Mans,Larsson_Mans,1
Stenborg_Erik,Stenborg_Erik,1
Toft_Carl,Toft_Carl,1
Hammarstrand_Lars,Hammarstrand_Lars,1
Sattler_Torsten,Sattler_Torsten,3
Kahl_Fredrik,Kahl_Fredrik,1
Yang_Luwei,Yang_Luwei,1
Bai_Ziqian,Bai_Ziqian,1
Tang_Chengzhou,Tang_Chengzhou,1
Li_Honghua,Li_Honghua,1
Furukawa_Yasutaka,Furukawa_Yasutaka,2
Tan_Ping,Tan_Ping,3
Hermosilla_Pedro,Hermosilla_Pedro,1
Ritschel_Tobias,Ritschel_Tobias,3
Ropinski_Timo,Ropinski_Timo,1
Pramono_Rizard_Renanda_Adhi,Pramono_Rizard_Renanda_Adhi,1
Chen_Yie-Tarng,Chen_Yie-Tarng,1
Fang_Wen-Hsien,Fang_Wen-Hsien,1
Muhammad_Umar_Riaz,Muhammad_Umar_Riaz,1
Yang_Yongxin,Yang_Yongxin,4
Hospedales_Timothy_M.,Hospedales_Timothy_M.,3
Xiang_Tao,Xiang_Tao,4
Song_Yi-Zhe,Song_Yi-Zhe,2
Annunziata_Roberto,Annunziata_Roberto,1
Sagonas_Christos,Sagonas_Christos,2
Cali_Jacques,Cali_Jacques,2
Lee_Seungmin,Lee_Seungmin,1
Kim_Dongwan,Kim_Dongwan,1
Kim_Namil,Kim_Namil,1
Jeong_Seong-Gyun,Jeong_Seong-Gyun,3
Kim_Youngdong,Kim_Youngdong,1
Yim_Junho,Yim_Junho,1
Yun_Juseung,Yun_Juseung,1
Kim_Junmo,Kim_Junmo,1
Ye_Shaokai,Ye_Shaokai,1
Xu_Kaidi,Xu_Kaidi,2
Liu_Sijia,Liu_Sijia,2
Cheng_Hao,Cheng_Hao,1
Lambrechts_Jan-Henrik,Lambrechts_Jan-Henrik,1
Zhang_Huan,Zhang_Huan,2
Zhou_Aojun,Zhou_Aojun,2
Ma_Kaisheng,Ma_Kaisheng,2
Wang_Yanzhi,Wang_Yanzhi,1
Lin_Xue,Lin_Xue,2
Zhao_Pu,Zhao_Pu,1
Chen_Pin-Yu,Chen_Pin-Yu,1
Hoang_Nghia,Hoang_Nghia,1
Kailkhura_Bhavya,Kailkhura_Bhavya,1
Das_Sagnik,Das_Sagnik,1
Ma_Ke,Ma_Ke,1
Shu_Zhixin,Shu_Zhixin,1
Samaras_Dimitris,Samaras_Dimitris,3
Shilkrot_Roy,Shilkrot_Roy,1
Zou_Xu,Zou_Xu,1
Zhong_Sheng,Zhong_Sheng,1
Yan_Luxin,Yan_Luxin,1
Zhao_Xiangyun,Zhao_Xiangyun,2
Zhou_Jiahuan,Zhou_Jiahuan,2
Wu_Ying,Wu_Ying,3
Yu_Zitong,Yu_Zitong,1
Peng_Wei,Peng_Wei,1
Li_Xiaobai,Li_Xiaobai,1
Hong_Xiaopeng,Hong_Xiaopeng,4
Zhao_Guoying,Zhao_Guoying,2
Shi_Tianyang,Shi_Tianyang,2
Yuan_Yi,Yuan_Yi,1
Fan_Changjie,Fan_Changjie,1
Zou_Zhengxia,Zou_Zhengxia,2
Shi_Zhenwei,Shi_Zhenwei,2
Liu_Yong,Liu_Yong,1
Balakrishnan_Guha,Balakrishnan_Guha,1
Dalca_Adrian_V.,Dalca_Adrian_V.,1
Zhao_Amy,Zhao_Amy,1
Guttag_John_V.,Guttag_John_V.,1
Durand_Fredo,Durand_Fredo,2
