Source,Target,Weight
Rossler_Andreas,Cozzolino_Davide,1
Rossler_Andreas,Verdoliva_Luisa,1
Rossler_Andreas,Riess_Christian,1
Rossler_Andreas,Thies_Justus,1
Rossler_Andreas,Niessner_Matthias,1
Cozzolino_Davide,Verdoliva_Luisa,1
Cozzolino_Davide,Riess_Christian,1
Cozzolino_Davide,Thies_Justus,1
Cozzolino_Davide,Niessner_Matthias,1
Verdoliva_Luisa,Riess_Christian,1
Verdoliva_Luisa,Thies_Justus,1
Verdoliva_Luisa,Niessner_Matthias,1
Riess_Christian,Thies_Justus,1
Riess_Christian,Niessner_Matthias,1
Thies_Justus,Niessner_Matthias,1
Niessner_Matthias,Avetisyan_Armen,2
Niessner_Matthias,Dai_Angela,2
Niessner_Matthias,Guibas_Leonidas_J.,1
Niessner_Matthias,Navab_Nassir,1
Niessner_Matthias,Tombari_Federico,1
Niessner_Matthias,Wald_Johanna,1
Niessner_Matthias,Dahnert_Manuel,1
Niessner_Matthias,"Jiang_Chiyu_""Max""",1
Niessner_Matthias,Lansigan_Dana,1
Niessner_Matthias,Marcus_Philip,1
Lu_Weixin,Wan_Guowei,1
Lu_Weixin,Zhou_Yao,1
Lu_Weixin,Fu_Xiangyu,1
Lu_Weixin,Yuan_Pengfei,1
Lu_Weixin,Song_Shiyu,1
Wan_Guowei,Zhou_Yao,1
Wan_Guowei,Fu_Xiangyu,1
Wan_Guowei,Yuan_Pengfei,1
Wan_Guowei,Song_Shiyu,1
Zhou_Yao,Fu_Xiangyu,1
Zhou_Yao,Yuan_Pengfei,1
Zhou_Yao,Song_Shiyu,1
Fu_Xiangyu,Yuan_Pengfei,1
Fu_Xiangyu,Song_Shiyu,1
Yuan_Pengfei,Song_Shiyu,1
Gadelha_Matheus,Wang_Rui,1
Gadelha_Matheus,Maji_Subhransu,1
Wang_Rui,Maji_Subhransu,1
Maji_Subhransu,Ravichandran_Avinash,1
Maji_Subhransu,Soatto_Stefano,1
Maji_Subhransu,Fowlkes_Charless_C.,1
Maji_Subhransu,Perona_Pietro,1
Maji_Subhransu,Achille_Alessandro,1
Maji_Subhransu,Lam_Michael,1
Maji_Subhransu,Tewari_Rahul,1
Larsson_Mans,Stenborg_Erik,1
Larsson_Mans,Toft_Carl,1
Larsson_Mans,Hammarstrand_Lars,1
Larsson_Mans,Sattler_Torsten,1
Larsson_Mans,Kahl_Fredrik,1
Stenborg_Erik,Toft_Carl,1
Stenborg_Erik,Hammarstrand_Lars,1
Stenborg_Erik,Sattler_Torsten,1
Stenborg_Erik,Kahl_Fredrik,1
Toft_Carl,Hammarstrand_Lars,1
Toft_Carl,Sattler_Torsten,1
Toft_Carl,Kahl_Fredrik,1
Hammarstrand_Lars,Sattler_Torsten,1
Hammarstrand_Lars,Kahl_Fredrik,1
Sattler_Torsten,Kahl_Fredrik,1
Sattler_Torsten,Pajdla_Tomas,1
Sattler_Torsten,Larsson_Viktor,1
Sattler_Torsten,Kukelova_Zuzana,1
Sattler_Torsten,Pollefeys_Marc,1
Sattler_Torsten,Sivic_Josef,1
Sattler_Torsten,Okutomi_Masatoshi,1
Sattler_Torsten,Taira_Hajime,1
Sattler_Torsten,Rocco_Ignacio,1
Sattler_Torsten,Sedlar_Jiri,1
Sattler_Torsten,Torii_Akihiko,1
Yang_Luwei,Bai_Ziqian,1
Yang_Luwei,Tang_Chengzhou,1
Yang_Luwei,Li_Honghua,1
Yang_Luwei,Furukawa_Yasutaka,1
Yang_Luwei,Tan_Ping,1
Bai_Ziqian,Tang_Chengzhou,1
Bai_Ziqian,Li_Honghua,1
Bai_Ziqian,Furukawa_Yasutaka,1
Bai_Ziqian,Tan_Ping,1
Tang_Chengzhou,Li_Honghua,1
Tang_Chengzhou,Furukawa_Yasutaka,1
Tang_Chengzhou,Tan_Ping,1
Li_Honghua,Furukawa_Yasutaka,1
Li_Honghua,Tan_Ping,1
Furukawa_Yasutaka,Tan_Ping,1
Furukawa_Yasutaka,Chen_Jiacheng,1
Furukawa_Yasutaka,Liu_Chen,1
Furukawa_Yasutaka,Wu_Jiaye,1
Tan_Ping,Dai_Zuozhuo,1
Tan_Ping,Chen_Mingqiang,1
Tan_Ping,Gu_Xiaodong,1
Tan_Ping,Zhu_Siyu,2
Tan_Ping,Tang_Sicong,1
Tan_Ping,Tan_Feitong,1
Tan_Ping,Cheng_Kelvin,1
Tan_Ping,Li_Zhaoyang,1
Hermosilla_Pedro,Ritschel_Tobias,1
Hermosilla_Pedro,Ropinski_Timo,1
Ritschel_Tobias,Ropinski_Timo,1
Ritschel_Tobias,Leal-Taixe_Laura,1
Ritschel_Tobias,Fritz_Mario,1
Ritschel_Tobias,Mitra_Niloy_J.,1
Ritschel_Tobias,Maximov_Maxim,1
Ritschel_Tobias,Henzler_Philipp,1
Pramono_Rizard_Renanda_Adhi,Chen_Yie-Tarng,1
Pramono_Rizard_Renanda_Adhi,Fang_Wen-Hsien,1
Chen_Yie-Tarng,Fang_Wen-Hsien,1
Muhammad_Umar_Riaz,Yang_Yongxin,1
Muhammad_Umar_Riaz,Hospedales_Timothy_M.,1
Muhammad_Umar_Riaz,Xiang_Tao,1
